,0
method,Cointegration
Total Net Profit,-4854.538000000011
Gross Profit,18665.08749999999
Gross Loss,-23519.625500000002
Percent Profitable,47.05882352941176
Winning Trades,24
Losing Trades,24
Avg. Trade Net Profit,-95.18701960784335
Avg. Winning Trade,777.7119791666663
Avg. Losing Trade,-979.9843958333335
Ratio Avg. Win:Avg. Loss,-0.7935962883422608
Largest Winning Trade,3463.064999999997
Largest Losing Trade,-5471.971200000002
Max. Consecutive Winning Trades,4
Max. Consecutive Losing Trades,5
Avg. Bars in Total Trades,492
Avg. Bars in Winning Trades,295
Avg. Bars in Losing Trades,197
Max. Drawdown,5975.0670000001555
